,Links
171,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/19377/Alfa-Romeo-Giulietta-Sprint-Veloce.html
172,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/23055/Alfa-Romeo-Giulietta-Sprint-Zagato-.html
173,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/107223/Alfa-Romeo-Giulia-(952)-20-Turbo-200HP-Auto.html
174,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/115218/Alfa-Romeo-Giulia-(952)-20-Turbo-200HP-B-Tech.html
175,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/107703/Alfa-Romeo-Giulia-(952)-20-Turbo-280HP-Veloce-Q4-Auto.html
176,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/119150/Alfa-Romeo-Giulia-(952)-20T-200HP.html
177,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/119151/Alfa-Romeo-Giulia-(952)-20T-280HP.html
178,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/109066/Alfa-Romeo-Giulia-(952)-29-V6-Bi-turbo-510HP-Quadrifoglio.html
179,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/107222/Alfa-Romeo-Giulia-(952)-29-V6-Bi-turbo-510HP-Quadrifoglio-Auto.html
180,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/114549/Alfa-Romeo-Giulia-(952)--22-Diesel-136HP.html
181,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/114546/Alfa-Romeo-Giulia-(952)--22-Diesel-160HP.html
182,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/114548/Alfa-Romeo-Giulia-(952)--22-Diesel-190HP.html
183,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/109065/Alfa-Romeo-Giulia-(952)-22-Diesel-136HP.html
184,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/106286/Alfa-Romeo-Giulia-(952)-22-Diesel-150HP.html
185,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/106287/Alfa-Romeo-Giulia-(952)-22-Diesel-150HP.html
186,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/106288/Alfa-Romeo-Giulia-(952)-22-Diesel-150HP-Auto.html
187,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/106289/Alfa-Romeo-Giulia-(952)-22-Diesel-150HP-Auto.html
188,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/115219/Alfa-Romeo-Giulia-(952)-22-Diesel-160HP-B-Tech.html
189,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/106290/Alfa-Romeo-Giulia-(952)-22-Diesel-180HP.html
190,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/106291/Alfa-Romeo-Giulia-(952)-22-Diesel-180HP-Auto.html
191,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/115220/Alfa-Romeo-Giulia-(952)-22-Diesel-190HP-B-Tech.html
192,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/107702/Alfa-Romeo-Giulia-(952)-22-Diesel-210HP-Veloce-Q4-Auto.html
193,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/119152/Alfa-Romeo-Giulia-(952)-22-JTD-160HP.html
194,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/119153/Alfa-Romeo-Giulia-(952)-22-JTD-190HP.html
195,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/23058/Alfa-Romeo-Giulia-1300.html
196,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/18038/Alfa-Romeo-Giulia-1300-Super.html
197,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/23059/Alfa-Romeo-Giulia-1300-TI.html
198,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/17324/Alfa-Romeo-Giulia-1300-TI.html
199,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/17331/Alfa-Romeo-Giulia-1600-TI.html
200,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/22569/Alfa-Romeo-Giulia-1600S.html
201,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/16200/Alfa-Romeo-Giulia-Super.html
202,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/26945/Alfa-Romeo-Giulia-Super.html
203,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/23376/Alfa-Romeo-Giulia-TI-Super.html
204,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/18028/Alfa-Romeo-Giulia-GT-1300-Junior-.html
205,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/18040/Alfa-Romeo-Giulia-GT-1600-Junior-.html
206,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/18046/Alfa-Romeo-Giulia-GT-Junior-Z-1300.html
207,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/18039/Alfa-Romeo-Giulia-GT-Junior-Z-1600.html
208,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/17337/Alfa-Romeo-Giulia-GTA-1300-Junior-.html
209,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/26951/Alfa-Romeo-Giulia-Nuova-Super-1300.html
210,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/23517/Alfa-Romeo-Giulia-Nuova-Super-1600.html
211,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/22566/Alfa-Romeo-Giulia-Nuova-Super-Diesel.html
212,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/17342/Alfa-Romeo-Giulia-Sprint-.html
213,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/17350/Alfa-Romeo-Giulia-Sprint-GTA-.html
214,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/16296/Alfa-Romeo-Giulia-Sprint-GTV-1600.html
215,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/28501/Alfa-Romeo-Giulia-Sprint-Speciale-.html
216,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/17879/Alfa-Romeo-Giulia-TZ-.html
217,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/17866/Alfa-Romeo-Giulia-TZ-TZ2.html
218,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/109881/Alfa-Romeo-Stelvio-20-Turbo-200HP-Q4.html
219,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/115213/Alfa-Romeo-Stelvio-20-Turbo-200HP-Q4-B-Tech.html
220,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/108598/Alfa-Romeo-Stelvio-20-Turbo-280HP-Q4.html
221,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/115214/Alfa-Romeo-Stelvio-20-Turbo-280HP-Q4-B-Tech.html
222,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/119158/Alfa-Romeo-Stelvio-20T-200HP-AWD.html
223,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/119159/Alfa-Romeo-Stelvio-20T-280HP-AWD.html
224,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/112235/Alfa-Romeo-Stelvio-29-V6-AWD-Quadrifoglio.html
225,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/110327/Alfa-Romeo-Stelvio-22-Diesel-150HP-AT8-RWD.html
226,https://www.ultimatespecs.com/car-specs/Alfa-Romeo/114550/Alfa-Romeo-Stelvio-22-Diesel-160HP.html
